# Metadata: {"symbol":"MSFT","data_points":25,"quality_grade":"Synthetic for repo tests","download_time":"2026-03-26T00:00:00Z","source":"repo_sample"}
Date,Open,High,Low,Close,Volume
2024-01-01,200,204,198,203,2000000
2024-01-02,201,205,199,204,2001000
2024-01-03,202,206,200,205,2002000
2024-01-04,203,207,201,206,2003000
2024-01-05,204,208,202,207,2004000
2024-01-06,205,209,203,208,2005000
2024-01-07,206,210,204,209,2006000
2024-01-08,207,211,205,210,2007000
2024-01-09,208,212,206,211,2008000
2024-01-10,209,213,207,212,2009000
2024-01-11,210,214,208,213,2010000
2024-01-12,211,215,209,214,2011000
2024-01-13,212,216,210,215,2012000
2024-01-14,213,217,211,216,2013000
2024-01-15,214,218,212,217,2014000
2024-01-16,215,219,213,218,2015000
2024-01-17,216,220,214,219,2016000
2024-01-18,217,221,215,220,2017000
2024-01-19,218,222,216,221,2018000
2024-01-20,219,223,217,222,2019000
2024-01-21,220,224,218,223,2020000
2024-01-22,221,225,219,224,2021000
2024-01-23,222,226,220,225,2022000
2024-01-24,223,227,221,226,2023000
2024-01-25,224,228,222,227,2024000
